,GENE
1336,ARPC2
1337,ARPC3
1338,ARPC4
1339,ARPC5
1340,ARPC5L
1341,ARPIN
1342,ARPP19
1343,ARPP21
1344,ARRB1
1345,ARRB2
1346,ARRDC1
1347,ARRDC1-AS1
1348,ARRDC2
1349,ARRDC3
1350,ARRDC3-AS1
1351,ARRDC4
1352,ARSA
1353,ARSB
1354,ARSD
1355,ARSE
1356,ARSG
1357,ARSI
1358,ARSJ
1359,ARSK
1360,ART3
1361,ART5
1362,ARTN
1363,ARV1
1364,ARVCF
1365,ARX
1366,ASAH1
1367,ASAH2
1368,ASAH2B
1369,ASAP1
1370,ASAP2
1371,ASAP3
1372,ASB1
1373,ASB13
1374,ASB15
1375,ASB16
1376,ASB16-AS1
1377,ASB18
1378,ASB2
1379,ASB3
1380,ASB4
1381,ASB5
1382,ASB6
1383,ASB7
1384,ASB8
1385,ASB9
1386,ASCC1
1387,ASCC2
1388,ASCC3
1389,ASCL1
1390,ASF1A
1391,ASF1B
1392,ASGR1
1393,ASH1L
1394,ASH1L-AS1
1395,ASH2L
1396,ASIC1
1397,ASIC3
1398,ASIC4
1399,ASIP
1400,ASL
1401,ASMTL
1402,ASMTL-AS1
1403,ASNA1
1404,ASNS
1405,ASNSD1
1406,ASPA
1407,ASPDH
1408,ASPH
1409,ASPHD1
1410,ASPHD2
1411,ASPM
1412,ASPN
1413,ASPRV1
1414,ASPSCR1
1415,ASRGL1
1416,ASS1
1417,ASTE1
1418,ASTN1
1419,ASTN2
1420,ASUN
1421,ASXL1
1422,ASXL2
1423,ASXL3
1424,ATAD1
1425,ATAD2
1426,ATAD2B
1427,ATAD3A
1428,ATAD3B
1429,ATAD3C
1430,ATAD5
1431,ATAT1
1432,ATCAY
1433,ATE1
1434,ATE1-AS1
1435,ATF1
1436,ATF2
1437,ATF3
1438,ATF4
1439,ATF5
1440,ATF6
1441,ATF6B
1442,ATF7
1443,ATF7IP
1444,ATF7IP2
1445,ATG10
1446,ATG101
1447,ATG12
1448,ATG13
1449,ATG14
1450,ATG16L1
1451,ATG16L2
1452,ATG2A
1453,ATG2B
1454,ATG3
1455,ATG4A
1456,ATG4B
1457,ATG4C
1458,ATG4D
1459,ATG5
1460,ATG7
1461,ATG9A
1462,ATG9B
1463,ATHL1
1464,ATIC
1465,ATL1
1466,ATL2
1467,ATL3
1468,ATM
1469,ATMIN
1470,ATN1
1471,ATOH7
1472,ATOH8
1473,ATOX1
1474,ATP10A
1475,ATP10B
1476,ATP10D
1477,ATP11A
1478,ATP11B
1479,ATP11C
1480,ATP13A1
1481,ATP13A2
1482,ATP13A3
1483,ATP13A4
1484,ATP13A5
1485,ATP13A5-AS1
1486,ATP1A1
1487,ATP1A2
1488,ATP1A3
1489,ATP1B1
1490,ATP1B2
1491,ATP1B3
1492,ATP2A1
1493,ATP2A1-AS1
1494,ATP2A2
1495,ATP2A3
1496,ATP2B1
1497,ATP2B2
1498,ATP2B3
1499,ATP2B4
1500,ATP2C1
1501,ATP5A1
1502,ATP5B
1503,ATP5C1
1504,ATP5D
1505,ATP5E
1506,ATP5EP2
1507,ATP5F1
1508,ATP5G1
1509,ATP5G2
1510,ATP5G3
1511,ATP5H
1512,ATP5I
1513,ATP5J
1514,ATP5J2
1515,ATP5L
1516,ATP5L2
1517,ATP5O
1518,ATP5S
1519,ATP5SL
1520,ATP6AP1
1521,ATP6AP1L
1522,ATP6AP2
1523,ATP6V0A1
1524,ATP6V0A2
1525,ATP6V0A4
1526,ATP6V0B
1527,ATP6V0C
1528,ATP6V0D1
1529,ATP6V0D2
1530,ATP6V0E1
1531,ATP6V0E2
1532,ATP6V0E2-AS1
1533,ATP6V1A
1534,ATP6V1B1
1535,ATP6V1B1-AS1
1536,ATP6V1B2
1537,ATP6V1C1
1538,ATP6V1C2
1539,ATP6V1D
1540,ATP6V1E1
1541,ATP6V1E2
1542,ATP6V1F
1543,ATP6V1G1
1544,ATP6V1G2
1545,ATP6V1G3
1546,ATP6V1H
1547,ATP7A
1548,ATP7B
1549,ATP8A1
1550,ATP8A2
1551,ATP8B1
1552,ATP8B2
1553,ATP8B3
1554,ATP8B4
1555,ATP9A
1556,ATP9B
1557,ATPAF1
1558,ATPAF2
1559,ATPIF1
1560,ATR
1561,ATRAID
1562,ATRIP.1
1563,ATRN
1564,ATRNL1
1565,ATRX
1566,ATXN1
1567,ATXN10
