gene_name,in_cluster,cluster
NEUROG1,True,Ebox/CATATG
NEUROG2,True,Ebox/CATATG
NFAT5,True,NFAT/2
NFATC1,True,"NFAT/2,NFAT/3,NFAT/4"
NFATC2,True,NFAT/1
NFATC3,True,NFAT/2
NFE2,True,"AP1/1,AP1/2"
NFE2L2,True,AP1/2
NFIA,True,"NFI/1,NFI/2,NFI/3"
NFIB,True,NFI/1
NFIC,True,"NFI/1,NFI/2,NFI/3"
NFIL3,True,CCAAT/CEBP
NFIX,True,NFI/1
NFKB1,True,"NFKB/1,NFKB/2"
NFKB2,True,"NFKB/1,NFKB/2"
NFYA,True,NFY
NFYB,True,NFY
NFYC,True,NFY
NHLH1,True,Ebox/CAGCTG
NKX2-3,True,HD/22
NKX2-5,True,"HD/22,HD/4"
NKX2-8,True,HD/22
NKX3-1,True,HD/4
NKX3-2,True,HD/4
NKX6-1,True,HD/2
NKX6-2,True,HD/2
NOBOX,True,HD/2
NOTO,True,HD/2
NPAS2,True,Ebox/CACGTG/1
NR1D1,True,NR/19
NR1D2,True,NR/19
NR1H2,True,NR/1
NR1H3,True,"NR/1,NR/16"
NR1H4,True,"NR/16,NR/18"
NR1I2,True,NR/16
NR1I3,True,NR/16
NR2C1,True,NR/12
NR2C2,True,"NR/1,NR/3"
NR2E1,True,NR/14
NR2E3,True,"NR/2,NR2E3"
NR2F1,True,"NR/1,NR/12,NR/13"
NR2F2,True,NR/12
NR2F6,True,"NR/1,NR/13"
NR3C1,True,NR/20
NR3C2,True,NR/20
NR4A1,True,"NR/12,NR/3"
NR4A2,True,"NR/12,NR/18,NR/6,NR/9"
NR5A2,True,NR/11
NR6A1,True,NR/11
NRF1,True,NRF1
NRL,True,MAF
OLIG1,True,Ebox/CATATG
OLIG2,True,"Ebox/CAGATGG,Ebox/CATATG"
OLIG3,True,Ebox/CATATG
ONECUT1,True,CUX/1
ONECUT2,True,CUX/1
ONECUT3,True,CUX/1
OSR2,True,OSR2
OTX1,True,"HD/19,HD/20"
OTX2,True,"HD/19,HD/20"
OVOL1,True,OVOL1
OVOL2,True,MYB/4
PATZ1,True,KLF/SP/2
PAX1,True,PAX/1
PAX2,True,"PAX-halfsite,PAX/1"
PAX3,True,CUX/1
PAX4,True,HD/2
PAX5,True,"PAX/1,PAX/2"
PAX6,True,PAX/1
PAX7,True,CUX/1
PAX9,True,PAX/1
PBX1,True,"HD/12,HD/16"
PBX2,True,"HD/12,HD/16"
PBX3,True,"HD/12,NFY"
PDX1,True,"HD/16,HD/2"
PHOX2A,True,HD/8
PHOX2B,True,HD/8
PITX1,True,HD/20
PITX3,True,HD/20
PKNOX1,True,MIES
PKNOX2,True,MIES
PLAG1,True,PLAG1
POU1F1,True,"POU/1,POU/2"
POU2F1,True,"POU/1,POU/3"
POU2F2,True,"POU/1,POU/3"
